from_seq	to_seq	event	block	trial	patt	reps	phor	stim	keep	thor	image	pdir	response	rt	set_id	type	placebo
469	470	trial	2	12	yes	1	right	a43	no	right	a43_right	up	1	651	169	train	TRUE
472	473	trial	2	13	yes	0	right	a43	yes	right	a43_right	down	1	656	169	train	TRUE
475	476	trial	2	14	no	0	left	p59	no	right	p59_right	up	1	660	169	train	TRUE
478	479	trial	2	15	no	0	right	a49	yes	left	a49_left	up	1	595	169	train	TRUE
481	482	trial	2	16	yes	1	left	a37	yes	left	a37_left	down	1	515	169	train	TRUE
484	485	trial	2	17	yes	0	right	a73	no	right	a73_right	down	1	549	169	train	TRUE
487	488	trial	2	18	yes	0	left	p53	no	left	p53_left	down	1	752	169	train	TRUE
490	491	trial	2	19	yes	0	left	p17	yes	left	p17_left	up	1	529	169	train	TRUE
493	494	trial	2	20	yes	1	right	a64	yes	right	a64_right	down	1	941	169	train	TRUE
496	497	trial	2	21	no	1	left	a64	no	right	a64_right	down	1	479	169	train	TRUE
499	500	trial	2	22	no	0	right	p59	no	left	p59_left	up	1	477	169	train	TRUE
502	503	trial	2	23	yes	0	right	a64	no	right	a64_right	up	1	514	169	train	TRUE
505	506	trial	2	24	yes	0	left	p70	yes	left	p70_left	down	1	633	169	train	TRUE
508	509	trial	2	25	yes	0	right	p70	no	right	p70_right	down	1	744	169	train	TRUE
